网游名称,画面,画风,开发商,运营商,题材,模式,收费,评论,类型,开发时间,背景
逆水寒,3D,半写实,网易,网易(大陆),武侠,即时,未确定,1966,大型角色扮演,"游戏于2015年12月入库，
                  共1次测试",《逆水寒》改编自武侠名家温瑞安的经典小说《四大名捕之逆水寒》，以多元化的角色定位、内力意随心动的招式体验，以及江湖自由争斗对抗的玩法，讲述北宋末年一段气壮山河的血腥大追捕，并牵扯出江湖恩怨、朝堂纷争、帮派仇杀、感情纠葛、市井百态等北宋生活画卷。
超凡战纪,3D,半写实,多益网络,多益网络(大陆),魔幻,即时,道具收费,292,大型角色扮演,"游戏于2016年09月入库，
                  共3次测试",《超凡战纪》是多益网络最新研发的魔幻冒险RPG，开启一个巨龙与天使并存的魔幻世界。《超凡战纪》包含6大职业多姿态自由切换、组合式变形定制技能、动态副本、40人V40人的热血大战场、宠物等特色。让玩家享受与好友兄弟，一起战斗竞技、热血开荒、探索世界的乐趣。
冒险岛2,2.5D,Q版,NEXON,,奇幻,即时,未确定,3152,大型角色扮演,"游戏于2013年12月入库，
                  共3次测试",《冒险岛2》，为韩NEXON公司旗下《冒险岛》的续作网游，游戏延续了前作经典的游戏角色形象，但与前作2D横版的游戏类型不同，《冒险岛2》是款3D MMORPG类网游。
仙侠世界2,3D,半写实,巨人网络,巨人网络(大陆),武侠,即时,道具收费,273,大型角色扮演,"游戏于2016年07月入库，
                  共4次测试",仙侠世界2，是巨人网络《仙侠世界》系列的第二部作品。仙侠世界2采用了HAVOK 引擎，与刺客信条系出同门。游戏采用次世代标准开发，画面表现力达到了全球顶尖水平。著名作家无罪担任游戏的剧情策划，全程参与游戏制作。
流放之路,3D,半写实,Grinding Gear Games,,奇幻,即时,道具收费,1015,动作角色扮演,"游戏于2010年09月入库，
                  共2次测试",流放之路（曾用名：流亡黯道），是由新西兰工作室Grinding Gear Games制作的动作角色扮演网络游戏。在流放之路的世界中，玩家被流放至充斥者僵尸与怪物的神祕大陆Wraeclast，在这里，玩家必须想办法得到更好的武器，并习得更强大的魔法来对抗未知的敌人。
火源,3D,写实,英佩游戏,腾讯(大陆),科幻,即时,未确定,572,动作角色扮演,"游戏于2016年03月入库，
                  共3次测试",《火源》有别于传统的偏重于PVP对战的射击游戏，它融入了大量角色扮演类游戏的玩法，玩家可以选择不同的技能和天赋路线。《火源》内除了包含多种职业外，还有超过100万把武器供玩家选择。配合职业、天赋等内容，玩家将可以体验到一款与众不同的射击游戏。
MU：传奇,3D,写实,网禅,网禅(国际),奇幻,即时,道具收费,10011,大型角色扮演,"游戏于2011年11月入库，
                  共4次测试","比起市面上烂大街的IP换皮，或是影游联动作品，MU传奇才是真正属于玩家的情怀产物。MU传奇继承了奇迹的主要玩法模式，操作视角比奇迹要远，看起来也就更加是暗黑类游戏的标准。升级靠任务+刷怪。有大世界玩家共存的空间，丰富的技能加点、装备首饰、天赋这些，构成了...          
        <div>
          比起市面上烂大街的IP换皮，或是影游联动作品，MU传奇才是真正属于玩家的情怀产物。MU传奇继承了奇迹的主要玩法模式，操作视角比奇迹要远，看起来也就更加是暗黑类游戏的标准。升级靠任务+刷怪。有大世界玩家共存的空间，丰富的技能加点、装备首饰、天赋这些，构成了增强人物的方式。        </div>
      
      [查看详细]"
龙魂时刻,3D,写实,网易,网易(大陆),魔幻,即时,未确定,439,动作角色扮演,"游戏于2016年07月入库，
                  共4次测试",《龙魂时刻》是网易今年曝出的首款自研动作端游，战斗中可通过精准闪避进入“子弹时间”，怪物AI静止，主角输出翻倍。游戏目前曝光了五大职业，具备组队副本、竞技场、多人战场，公会战等玩法。
黑色沙漠,3D,半写实,PearlAbyss,,奇幻,即时,道具收费,1531,大型角色扮演,"游戏于2012年09月入库，
                  共4次测试",《黑色沙漠》是款在电玩游戏中的动作和战斗的基础上添加大规模攻城战，不动产使用、交易和雇佣等模拟要素的MMORPG。游戏中，玩家可以以广阔的舞台为背景，体验写实的大规模战斗。
失落的方舟,3D,写实,Smilegate,腾讯(大陆),奇幻,即时,未确定,3032,动作角色扮演,"游戏于2014年11月入库，
                  共1次测试",失落的方舟是款俯视角MMORPG，采用虚幻3引擎打造，开发人员多达150人。失落的方舟采用了无锁定战斗方式，玩家在游戏中扮演找寻“方舟”（Ark）并一步步成长起来英雄，并与恶魔军团进行不断战斗。
